start_location,end_location,distance_meters,duration_seconds,duration_minutes,num_steps,directions
academic block 1(ab1),academic block2(ab2),230.4,57.4,1.0,3,Start heading right (111m) | Turn right (118m) | Arrive at your destination
academic block 1(ab1),academic block 3(ab3),263.5,65.3,1.1,3,Start heading right (111m) | Turn right (151m) | Arrive at your destination
academic block 1(ab1),I3 adminstrative block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
academic block 1(ab1),chancellor office,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
academic block 1(ab1),p1 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
academic block 1(ab1),p2 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
academic block 1(ab1),p3 faculty block,1405.5,349.6,5.8,5,Start heading right (111m) | Turn left (345m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
academic block 1(ab1),central library,403.1,98.9,1.6,3,Start heading right (111m) | Turn right (291m) | Arrive at your destination
academic block 1(ab1),sac,373.2,91.6,1.5,3,Start heading right (111m) | Turn right (261m) | Arrive at your destination
academic block 1(ab1),food court,1381.7,293.1,4.9,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
academic block 1(ab1),boys mess,1440.8,296.3,4.9,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
academic block 1(ab1),girls mess,1251.5,285.8,4.8,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
academic block 1(ab1),sbi,1241.4,285.3,4.8,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
academic block 1(ab1),nuzvid clinic,403.1,98.9,1.6,3,Start heading right (111m) | Turn right (291m) | Arrive at your destination
academic block 1(ab1),yoga shala,1304.5,288.8,4.8,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
academic block 1(ab1),k2 ground,1497.1,299.4,5.0,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
academic block 1(ab1),I1 boys hostel,1898.0,344.3,5.7,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
academic block 1(ab1),I2 boys hostel,1946.6,351.4,5.9,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
academic block 1(ab1),k2 girls hostel,1217.8,284.0,4.7,7,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
academic block 1(ab1),k3 girls hostel,2129.7,377.8,6.3,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
academic block 1(ab1),k4 girls hostel,2155.2,381.5,6.4,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
academic block 1(ab1),dh1&2,1957.6,353.0,5.9,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
academic block 1(ab1),dh3,1998.2,358.8,6.0,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
academic block 1(ab1),dh4,2031.2,363.6,6.1,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
academic block 1(ab1),beta cluster,1829.8,334.6,5.6,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
academic block 1(ab1),eta cluster,1942.2,357.0,6.0,9,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
academic block 1(ab1),gama cluster,1989.8,363.8,6.1,9,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
academic block 1(ab1),kappa cluster,2137.4,384.5,6.4,9,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
